t;s_x;s_y;v_x;v_y
0;0.1;9.99902;10;-0.0981
0;0.2;9.99706;10;-0.1962
0;0.3;9.99411;10;-0.2943
0;0.4;9.99019;10;-0.3924
0;0.5;9.98528;10;-0.4905
0;0.6;9.9794;10;-0.5886
0;0.7;9.97253;10;-0.6867
0;0.8;9.96468;10;-0.7848
0;0.9;9.95585;10;-0.8829
0;1;9.94604;10;-0.981
0;1.1;9.93525;10;-1.0791
0;1.2;9.92348;10;-1.1772
0;1.3;9.91073;10;-1.2753
0;1.4;9.897;10;-1.3734
0;1.5;9.88228;10;-1.4715
0;1.6;9.86658;10;-1.5696
0;1.7;9.84991;10;-1.6677
0;1.8;9.83225;10;-1.7658
0;1.9;9.81361;10;-1.8639
0;2;9.79399;10;-1.962
0;2.1;9.77339;10;-2.0601
0;2.2;9.75181;10;-2.1582
0;2.3;9.72924;10;-2.2563
0;2.4;9.7057;10;-2.3544
0;2.5;9.68117;10;-2.4525
0;2.6;9.65567;10;-2.5506
0;2.7;9.62918;10;-2.6487
0;2.8;9.60171;10;-2.7468
0;2.9;9.57326;10;-2.8449
0;3;9.54383;10;-2.943
0;3.1;9.51342;10;-3.0411
0;3.2;9.48203;10;-3.1392
0;3.3;9.44966;10;-3.2373
0;3.4;9.4163;10;-3.3354
0;3.5;9.38197;10;-3.4335
0;3.6;9.34665;10;-3.5316
0;3.7;9.31036;10;-3.6297
0;3.8;9.27308;10;-3.7278
0;3.9;9.23482;10;-3.8259
0;4;9.19558;10;-3.924
0;4.1;9.15536;10;-4.0221
0;4.2;9.11416;10;-4.1202
0;4.3;9.07197;10;-4.2183
0;4.4;9.02881;10;-4.3164
0;4.5;8.98466;10;-4.4145
0;4.6;8.93954;10;-4.5126
0;4.7;8.89343;10;-4.6107
0;4.8;8.84634;10;-4.7088
0;4.9;8.79827;10;-4.8069
0;5;8.74922;10;-4.905
0;5.1;8.69919;10;-5.0031
0;5.2;8.64818;10;-5.1012
0;5.3;8.59619;10;-5.1993
0;5.4;8.54321;10;-5.2974
0;5.5;8.48926;10;-5.3955
0;5.6;8.43432;10;-5.4936
0;5.7;8.37841;10;-5.5917
0;5.8;8.32151;10;-5.6898
0;5.9;8.26363;10;-5.7879
0;6;8.20477;10;-5.886
0;6.1;8.14493;10;-5.9841
0;6.2;8.08411;10;-6.0822
0;6.3;8.0223;10;-6.1803
0;6.4;7.95952;10;-6.2784
0;6.5;7.89576;10;-6.3765
0;6.6;7.83101;10;-6.4746
0;6.7;7.76528;10;-6.5727
0;6.8;7.69857;10;-6.6708
0;6.9;7.63089;10;-6.7689
0;7;7.56222;10;-6.867
0;7.1;7.49256;10;-6.9651
0;7.2;7.42193;10;-7.0632
0;7.3;7.35032;10;-7.1613
0;7.4;7.27773;10;-7.2594
0;7.5;7.20415;10;-7.3575
0;7.6;7.12959;10;-7.4556
0;7.7;7.05406;10;-7.5537
0;7.8;6.97754;10;-7.6518
0;7.9;6.90004;10;-7.7499
0;8;6.82156;10;-7.848
0;8.1;6.7421;10;-7.9461
0;8.2;6.66166;10;-8.0442
0;8.3;6.58023;10;-8.1423
0;8.4;6.49783;10;-8.2404
0;8.5;6.41445;10;-8.3385
0;8.6;6.33008;10;-8.4366
0;8.7;6.24473;10;-8.5347
0;8.8;6.1584;10;-8.6328
0;8.9;6.0711;10;-8.7309
0;9;5.98281;10;-8.829
0;9.1;5.89353;10;-8.9271
0;9.2;5.80328;10;-9.0252
0;9.3;5.71205;10;-9.1233
0;9.4;5.61984;10;-9.2214
0;9.5;5.52664;10;-9.3195
0;9.6;5.43246;10;-9.4176
0;9.7;5.33731;10;-9.5157
0;9.8;5.24117;10;-9.6138
0;9.9;5.14405;10;-9.7119
0;10;5.04595;10;-9.81
